127.0.0.1 - - [24/Aug/2026 20:39:28] "HEAD / HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 20:40:55] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 20:40:55] "GET /animations/transitions.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 20:40:55] "GET /tailwind-config.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 20:40:55] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 20:40:57] "GET /animations/particles-sacro.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 20:40:57] "GET /modos/mapa-mundi/mapa.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 20:40:57] "GET /modos/linha-do-tempo/timeline.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 20:40:57] "GET /modos/paroquias/paroquias.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 20:40:58] "GET /Conteudo/periodos/modules.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 20:40:58] "GET /Conteudo/periodos/eras.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 20:41:42] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 20:41:42] "GET /animations/transitions.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 20:41:42] "GET /tailwind-config.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 20:41:42] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 20:41:43] "GET /animations/particles-sacro.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 20:41:43] "GET /modos/linha-do-tempo/timeline.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 20:41:43] "GET /modos/paroquias/paroquias.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 20:41:43] "GET /modos/mapa-mundi/mapa.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 20:41:44] "GET /Conteudo/periodos/modules.json HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 20:41:44] "GET /Conteudo/periodos/eras.json HTTP/1.1" 200 -
